"Ticket ID","Name","Email","Category","Priority","Subject","Status","Description","","",""
"1684382845","Reagan Flores","zikora@mailinator.com","Support","Urgent","Minima ullam est ni","On Hold","<p><strong>Lorem Ipsum</strong>&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry&#39;s standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.&nbsp;</p>","","-","off"
"1684382908","Emerald Colon","fityfapimy@mailinator.com","Bug","High","Corporis repudiandae","In Progress","<p><strong>Lorem Ipsum</strong>&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry&#39;s standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.&nbsp;</p>","","-","off"
"1684905451","Stuart Fitzpatrick","jejitajar@mailinator.com","Questions","Medium","Ullamco itaque moles","In Progress","<p>Expedita ea enim ali</p>","","-","off"
"1684905482","Nell Macdonald","kuwexi@mailinator.com","New Installtion","Low","Quam totam dolore ex","On Hold","<p>Expedita ea enim ali</p>","","-","off"
"1685386075","Pearl Smith","xoxigif@mailinator.com","New Installtion","Low","Qui ipsum ab volupt","In Progress","<p>Qui ipsum ab volupt</p>","","-","off"
"1687835547","John","john@example.com","Questions","High","Documentation and Guides","In Progress","<p>Customers may request documentation, user guides, tutorials, or any other resources to help them understand or utilize a product or service effectively.</p>","","-","off"
"1690168697","Kelly Lynn","kelly@example.com","Questions","Medium","Documentation and Guides","New Ticket","<p>Customers may request documentation, user guides, tutorials, or any other resources to help them understand or utilize a product or service effectively.</p>","","-","off"
"1690169026","Jared Williams","jide@mailinator.com","New Installtion","Urgent","installtion","New Ticket","<p>issue when try new fresh installtion</p>","","-","off"
"1694661938","Cenided","cenided858@vip4e.com","New Installtion","Low","installtion","New Ticket","<p>issue when try new fresh installtion</p>","","-","off"
"1698750400","Kosog","kosog42274@chotunai.com","New Installtion","Medium","installtion error","In Progress","<p>installtion error</p>","","-","off"
"1698750770","Testing","wohipa5107@wanbeiz.com","Installtion","High","test","New Ticket","<p>wohipa5107@wanbeiz.com</p>","","-","off"
"1702417365","admin","help@willdev.in","Support","High","tema 1 - apoyo","In Progress","<p>tema 1 - apoyo</p>","","-","off"
"1702454009","Test","test@gmail.com","New Installtion","Urgent","test","New Ticket","test","","-","off"
